0	ffffff
yg61 	d6e9d6
yg63 	a0caa2
yg67 	81bf8c
yg91 	dad7ae
yg93 	d2d29c
yg95 	cbc65e
yg97 	958f03
yg99 	4e6a15
yr0000 	fff3e5
yr00 	fed6bd
yr01 	fedac2
yr02 	fcdcc5
yr04 	fec369
yr07 	f26f39
yr09 	f15524
yr12 	ffe2a6
yr14 	fec84e
yr15 	fbb884
yr16 	feb729
yr18 	f26b3c
yr20 	ffe1bf
yr21 	f5ddb1
yr23 	eccf8b
yr24 	f0cf64
yr30 	fef2da
yr31 	ffdea8
yr61 	fddac4
yr65 	faae60
yr68 	f37022
yr82 	fdc68d
